Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AttributeInfo.java",AttributeInfo.java,3,3,3,1,12,0,10,2,,,,,1,1,11,4,,4,3,2,4,,0,0,2,2,,146,20,,,,59,25,42,,,67,,,,,,,,,,37,52,25,,,27,,,,,,,,11,11,11,1,,,1,,,,1,14,14,14,14,4
File,"AttributeInfoList.java",AttributeInfoList.java,1,1,1,1,5,0,5,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,102,11,,,,33,14,12,,,58,,,,,,,,,,19,28,16,,,12,,,,,,,,3,3,3,3,,,2,,,,1,76,8,8,8,7
File,"AttributeValidator.java",AttributeValidator.java,4,4,5,1,21,2,18,0,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,112,11,,,,43,18,23,,,58,,,,,,,,,,25,32,16,,,16,,,,,,,,8,8,9,1,,,2,,,,1,35,9,9,10,2
File,"Available.java",Available.java,2,2,2,1,8,0,7,0,,,,,1,0,0,17,,17,17,9,17,,0,4,0,13,,242,30,,,,152,36,79,,,60,,,,,,,,,,63,105,37,,,68,,,,,,,,9,9,15,4,,,3,,,,0,39,42,42,48,28
File,"AvailableTest.java",AvailableTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,20,,20,20,0,20,,0,0,0,20,,186,23,,,,79,22,36,,,84,,,,,,,,,,37,58,22,,,36,,,,,,,,1,1,1,1,,,0,,,,1,06,20,20,20,20
File,"BaseTask.java",BaseTask.java,1,1,1,1,5,0,4,0,,,,,1,0,0,19,,19,19,4,19,,0,0,1,18,,189,31,,,,94,32,43,,,64,,,,,,,,,,41,71,33,,,38,,,,,,,,7,7,9,7,,,2,,,,0,68,29,29,31,27
File,"BaseTest.java",BaseTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,15,,15,15,9,15,,0,0,0,15,,148,19,,,,62,28,24,,,67,,,,,,,,,,28,45,28,,,17,,,,,,,,2,2,2,1,,,1,,,,1,08,16,16,16,15
File,"BatchTest.java",BatchTest.java,1,1,1,1,14,0,8,6,,,,,1,1,0,8,,8,7,2,8,,1,3,0,4,,214,16,,,,79,33,46,,,119,,,,,,,,,,56,72,37,,,35,,,,,,,,5,5,5,1,,,3,,,,1,51,15,15,15,8
Public Class,"Bootstrap",Bootstrap.java,4,4,4,1,29,3,20,6,1,0,0,0,,3,0,,,,0,0,3,3,2,0,0,1,,106,13,,,,62,14,44,,,31,,,,,,,,,,36,49,16,,,33,,,,,,,,5,5,5,1,,1,2,,0,0,0,50,12,12,12,3
File,"Bootstrap.java",Bootstrap.java,4,4,4,1,29,3,20,6,,,,,1,3,0,3,,3,0,0,3,,2,0,0,1,,115,16,,,,65,17,44,,,34,,,,,,,,,,39,52,19,,,33,,,,,,,,5,5,5,1,,,2,,,,0,52,12,12,12,3
