Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AntStructureTest.java",AntStructureTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,74,5,,,,13,6,3,,,56,,,,,,,,,,5,9,6,,,3,,,,,,,,1,1,1,1,,,0,,,,4,31,3,3,3,3
File,"AntTest.java",AntTest.java,1,1,1,1,5,0,5,0,,,,,5,0,0,63,,63,63,14,63,,8,1,2,52,,477,60,,,,356,126,194,,,61,,,,,,,,,,151,239,125,,,114,,,,,,,,9,9,9,1,,,7,,,,0,17,83,83,83,63
File,"Antidote.html",Antidote.html,0,0,0,0,98,18,0,0,,,,,0,,,0,,0,,,,,,,,,,98,18,18,0,0,0,,,0,0,0,0,0,0,98,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,,,,0,00,0,0,0,0
Function,"Array.prototype.push",breadcrumbs.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,1,,,1,,0,,0,,,1,,,1,0,,2,1,1,,1,1,,1,1,1,1,,,,,,,,0,,,,,1,1,1,1
File,"AsiExtraField.java",AsiExtraField.java,1,1,1,1,11,0,5,5,,,,,1,0,1,19,,19,19,6,19,,0,0,1,18,,366,35,,,,121,41,74,,,215,,,,,,,,,,61,85,40,,,45,,,,,,,,3,3,3,1,,,1,,,,1,78,23,23,24,19
File,"AsiExtraFieldTest.java",AsiExtraFieldTest.java,1,1,1,1,27,1,23,8,,,,,1,0,0,4,,4,4,0,4,,0,0,0,4,,178,12,,,,97,19,82,,,93,,,,,,,,,,60,68,15,,,53,,,,,,,,3,3,3,1,,,1,,,,0,96,7,7,7,4
File,"AttributeInfo.java",AttributeInfo.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,11,0,,0,0,0,0,,85,13,,,,14,13,11,,,58,,,,,,,,,,12,13,13,,,0,,,,,,,,0,0,0,0,,,0,,,,4,14,0,0,0,0
File,"Available.java",Available.java,3,3,3,2,18,0,11,6,,,,,2,0,1,22,,22,22,11,22,,0,4,0,18,,541,44,,,,291,58,180,,,206,,,,,,,,,,118,190,59,,,131,,,,,,,,17,17,25,17,,,5,,,,0,71,70,70,84,51
File,"AvailableTest.java",AvailableTest.java,1,1,1,1,3,0,3,0,,,,,1,0,0,28,,28,28,0,28,,0,0,0,28,,237,32,,,,113,33,51,,,92,,,,,,,,,,55,84,33,,,51,,,,,,,,1,1,1,1,,,0,,,,0,81,28,28,28,28
Public Class,"B",B.java,0,0,0,0,0,0,0,0,1,0,0,4,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,2,0,,0,0,0,00,0,0,0,0
Public Class,"B",B.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"B",B.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
Public Class,"B",B.java,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0,00,0,0,0,0
File,"B.java",B.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,3,1,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"B.java",B.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,3,1,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"B.java",B.java,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,3,1,,,,2,1,0,,,0,,,,,,,,,,0,1,1,,,0,,,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
File,"B.java",B.java,1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,66,3,,,,10,4,3,,,53,,,,,,,,,,4,6,3,,,3,,,,,,,,1,1,1,1,,,0,,,,5,30,1,1,1,1
