Kind,Name,File,CountClassCoupled,CountDeclMethod,CountDeclMethodAll,CountClassDerived,CountLineCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,Path,class_frequency,will_change,number_of_changes,release
Anonymous Class,org.apache.tools.ant.taskdefs.ExecuteWatchdogTest.testManualStop.(Anon_1),ExecuteWatchdogTest.java,1.0,1.0,1.0,0.0,8.0,12,0.0,2.0,org.apache.tools.ant.taskdefs.ExecuteWatchdogTest.testManualStop.(Anon_1).ExecuteWatchdogTest.java,7,0,8,9
Public Class,org.apache.tools.ant.taskdefs.Exit,Exit.java,6.0,13.0,52.0,0.0,99.0,91,75.0,3.0,org.apache.tools.ant.taskdefs.Exit.Exit.java,8,1,8,9
Private Static Class,org.apache.tools.ant.taskdefs.Exit.NestedCondition,Exit.java,1.0,1.0,35.0,0.0,9.0,0,0.0,3.0,org.apache.tools.ant.taskdefs.Exit.NestedCondition.Exit.java,4,1,8,9
Public Class,org.apache.tools.ant.taskdefs.Expand,Expand.java,16.0,26.0,65.0,1.0,296.0,58,91.0,3.0,org.apache.tools.ant.taskdefs.Expand.Expand.java,9,1,9,9
Public Class,org.apache.tools.ant.taskdefs.FailTest,FailTest.java,3.0,15.0,15.0,0.0,142.0,11,0.0,1.0,org.apache.tools.ant.taskdefs.FailTest.FailTest.java,8,1,9,9
Public Class,org.apache.tools.ant.taskdefs.Filter,Filter.java,3.0,5.0,44.0,0.0,35.0,89,53.0,3.0,org.apache.tools.ant.taskdefs.Filter.Filter.java,9,1,8,9
Public Class,org.apache.tools.ant.taskdefs.FilterTest,FilterTest.java,3.0,12.0,12.0,0.0,92.0,3,0.0,1.0,org.apache.tools.ant.taskdefs.FilterTest.FilterTest.java,8,1,9,9
Public Class,org.apache.tools.ant.taskdefs.FixCRLF,FixCRLF.java,12.0,17.0,97.0,0.0,365.0,60,80.0,4.0,org.apache.tools.ant.taskdefs.FixCRLF.FixCRLF.java,9,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove,FixCRLF.java,0.0,1.0,10.0,0.0,5.0,80,0.0,2.0,org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove.FixCRLF.java,9,1,8,9
Public Static Class,org.apache.tools.ant.taskdefs.FixCRLF.CrLf,FixCRLF.java,0.0,1.0,10.0,0.0,6.0,17,0.0,2.0,org.apache.tools.ant.taskdefs.FixCRLF.CrLf.FixCRLF.java,6,1,8,9
Protected Class,org.apache.tools.ant.taskdefs.FixCRLF.OneLiner,FixCRLF.java,5.0,8.0,8.0,0.0,192.0,27,73.0,1.0,org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.FixCRLF.java,6,1,8,9
Class,org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine,FixCRLF.java,2.0,19.0,19.0,0.0,68.0,0,78.0,1.0,org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.FixCRLF.java,6,0,8,9
Public Class,org.apache.tools.ant.taskdefs.FixCrLfTest,FixCrLfTest.java,4.0,36.0,36.0,0.0,175.0,5,2.0,1.0,org.apache.tools.ant.taskdefs.FixCrLfTest.FixCrLfTest.java,6,1,9,9
Public Class,org.apache.tools.ant.taskdefs.GUnzip,GUnzip.java,3.0,3.0,55.0,0.0,37.0,73,0.0,4.0,org.apache.tools.ant.taskdefs.GUnzip.GUnzip.java,9,1,8,9
Public Class,org.apache.tools.ant.taskdefs.GUnzipTest,GUnzipTest.java,4.0,9.0,9.0,0.0,49.0,4,44.0,1.0,org.apache.tools.ant.taskdefs.GUnzipTest.GUnzipTest.java,8,1,9,9
Public Class,org.apache.tools.ant.taskdefs.GZip,GZip.java,2.0,2.0,54.0,0.0,17.0,29,0.0,4.0,org.apache.tools.ant.taskdefs.GZip.GZip.java,9,1,8,9
Public Class,org.apache.tools.ant.taskdefs.GenerateKey,GenerateKey.java,5.0,14.0,53.0,0.0,229.0,58,84.0,3.0,org.apache.tools.ant.taskdefs.GenerateKey.GenerateKey.java,8,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.GenerateKey.DistinguishedName,GenerateKey.java,1.0,4.0,4.0,0.0,45.0,56,25.0,1.0,org.apache.tools.ant.taskdefs.GenerateKey.DistinguishedName.GenerateKey.java,8,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.GenerateKey.DnameParam,GenerateKey.java,0.0,5.0,5.0,0.0,19.0,5,40.0,1.0,org.apache.tools.ant.taskdefs.GenerateKey.DnameParam.GenerateKey.java,8,0,9,9
Public Class,org.apache.tools.ant.taskdefs.Get,Get.java,16.0,22.0,61.0,0.0,487.0,56,90.0,3.0,org.apache.tools.ant.taskdefs.Get.Get.java,9,1,9,9
Protected Static Class,org.apache.tools.ant.taskdefs.Get.Base64Converter,Get.java,0.0,0.0,2.0,0.0,3.0,0,0.0,2.0,org.apache.tools.ant.taskdefs.Get.Base64Converter.Get.java,5,0,8,9
Private Class,org.apache.tools.ant.taskdefs.Get.GetThread,Get.java,6.0,10.0,10.0,0.0,208.0,19,74.0,2.0,org.apache.tools.ant.taskdefs.Get.GetThread.Get.java,2,1,9,9
Public Static Class,org.apache.tools.ant.taskdefs.Get.NullProgress,Get.java,0.0,3.0,3.0,0.0,8.0,12,0.0,1.0,org.apache.tools.ant.taskdefs.Get.NullProgress.Get.java,4,1,8,9
Public Static Class,org.apache.tools.ant.taskdefs.Get.VerboseProgress,Get.java,1.0,4.0,4.0,0.0,21.0,90,37.0,1.0,org.apache.tools.ant.taskdefs.Get.VerboseProgress.Get.java,4,1,8,9
Public Class,org.apache.tools.ant.taskdefs.GetTest,GetTest.java,2.0,11.0,11.0,0.0,72.0,11,0.0,1.0,org.apache.tools.ant.taskdefs.GetTest.GetTest.java,8,1,9,9
Public Class,org.apache.tools.ant.taskdefs.GzipTest,GzipTest.java,2.0,9.0,9.0,0.0,65.0,9,0.0,1.0,org.apache.tools.ant.taskdefs.GzipTest.GzipTest.java,8,1,9,9
Public Class,org.apache.tools.ant.taskdefs.HostInfo,HostInfo.java,2.0,10.0,49.0,0.0,153.0,27,71.0,3.0,org.apache.tools.ant.taskdefs.HostInfo.HostInfo.java,2,1,9,9
